,años,pais_code,TX.VAL.TECH.MF.ZS,TX.VAL.TECH.CD,SP.POP.TECH.RD.P6,SP.POP.SCIE.RD.P6,IP.PAT.RESD,IP.PAT.NRES,IP.JRN.ARTC.SC,GB.XPD.RSDV.GD.ZS,BX.GSR.ROYL.CD,BM.GSR.ROYL.CD
0,1990,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1991,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1993,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1994,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1995,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1996,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1997,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1998,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1999,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480446.927374302
10,2000,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458100.558659218
11,2001,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564245.81005587
12,2002,ABW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3391061.45251397
13,2003,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156424.581005587,4217877.09497207
14,2004,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4547486.03351955
15,2005,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29713.2392925923,6771959.27880357
16,2006,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71831.445994457,10347511.9994435
17,2007,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55865.9217877095,9832402.23463687
18,2008,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55865.9217877095,11955307.2625698
19,2009,ABW,4.01259892391419,1082577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13184357.5418994
20,2010,ABW,4.13079661839726,703388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14748603.3519553
21,2011,ABW,4.79098828956432,1269221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10558659.2178771
22,2012,ABW,11.2591812170153,3656986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9720670.39106145
23,2013,ABW,5.14004404663994,1702027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8645172.62569832
24,2014,ABW,7.32268827718477,2236381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10903194.972067
25,2015,ABW,4.96898579074605,1265878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13810224.5810056
26,2016,ABW,4.04239497515666,1255852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2017,ABW,6.64041582516023,2004844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2018,ABW,8.51673658555146,2562889.0,0.0,0.0,0.0,0.0,0.0,0.0,932986.795265326,16533453.287263
29,2019,ABW,4.95280280127981,1655574.0,0.0,0.0,0.0,0.0,0.0,0.0,1750298.46454458,16848539.3339724
30,2020,ABW,6.75665142917031,1788242.0,0.0,0.0,0.0,0.0,0.0,0.0,153605.366917103,10210598.3145219
31,2021,ABW,0.0,1171447.0,0.0,0.0,0.0,0.0,0.0,0.0,700088.484163462,12319999.116496
32,1990,AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30598167.9917569,167274402.486613
33,1991,AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104445468.440819,209382301.388228
34,1992,AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62848125.6414902,180139306.880349
35,1993,AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76663057.5750853,260238512.710708
36,1994,AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79263830.671328,236955019.516439
37,1995,AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68604359.9001978,393810107.268975
38,1996,AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107522455.020004,383757638.537913
39,1997,AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91895364.4398549,386585738.585637
40,1998,AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88828272.9107401,343401984.91352
41,1999,AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64143929.8695016,329550880.441077
42,2000,AFE,0.0,0.0,0.0,0.0,0.0,0.0,5408.82061484226,0.0,78800884.320691,396369882.141538
43,2001,AFE,0.0,0.0,0.0,0.0,0.0,0.0,5683.46736142331,0.0,36980484.6642858,458714373.790437
44,2002,AFE,0.0,0.0,0.0,0.0,0.0,0.0,6063.52204909023,0.0,34239386.6243244,587668403.787097
45,2003,AFE,0.0,0.0,0.0,0.0,0.0,0.0,5977.06171605622,0.594840933554435,43985632.3073441,762155199.05751
46,2004,AFE,0.0,0.0,0.0,0.0,0.0,0.0,6621.65964478334,0.62637871108228,286890640.851366,1066498399.69093
47,2005,AFE,0.0,0.0,0.0,0.0,0.0,0.0,7093.49812220383,0.627772081235503,160418469.910011,1260750199.58289
48,2006,AFE,0.0,0.0,0.0,0.0,0.0,0.0,7916.75780936037,0.0,1459557939.88036,1460852924.74055
49,2007,AFE,0.0,0.0,0.0,0.0,0.0,0.0,8451.62009053034,0.661803726143754,169172439.848618,1836130868.5094
50,2008,AFE,0.0,0.0,0.0,0.0,0.0,0.0,8859.21786835846,0.0,294437192.078452,1913591848.82785
51,2009,AFE,4.57984857751344,0.0,0.0,0.0,0.0,0.0,9934.49903742125,0.0,224715976.536424,1912271267.3151
52,2010,AFE,4.77044168591511,0.0,0.0,0.0,0.0,0.0,10738.4354916518,0.587086460228055,182704294.336385,2068158316.32213
53,2011,AFE,0.0,0.0,0.0,0.0,0.0,0.0,11746.9053796488,0.0,231492631.987218,2218812780.4091
54,2012,AFE,0.0,0.0,0.0,0.0,0.0,0.0,12849.5,0.0,217655329.893993,2366000543.68757
55,2013,AFE,5.23544505052349,2996726465.0,0.0,0.0,0.0,0.0,13959.21,0.0,233043819.78459,2379213101.16718
56,2014,AFE,0.0,3105385434.0,0.0,0.0,0.0,0.0,15149.54,0.0,255938294.409554,2368729697.341
57,2015,AFE,6.51705526237608,3261509702.0,0.0,0.0,0.0,0.0,15953.67,0.0,262142138.339504,2256459122.57745
58,2016,AFE,6.44263014936285,3058025674.0,0.0,0.0,0.0,0.0,17617.02,0.0,228231052.601865,2394608159.3712
59,2017,AFE,6.16377018887807,2600999166.0,0.0,0.0,0.0,0.0,19259.19,0.0,272194710.947834,2551332706.14039
60,2018,AFE,4.28661168078416,2624922469.0,0.0,0.0,0.0,0.0,20033.38,0.0,314298586.044117,2161661760.55854
61,2019,AFE,6.91918614027457,2217336335.0,0.0,0.0,0.0,0.0,0.0,0.0,240732725.861329,1740564462.87476
62,2020,AFE,4.41299003996808,2090623477.0,0.0,0.0,0.0,0.0,0.0,0.0,188234749.547738,1562474516.92963
63,2021,AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138594780.183615,1618369841.80822
64,1990,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1991,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1992,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1993,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1994,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1995,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1996,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1997,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1998,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1999,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2000,AFG,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
75,2001,AFG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
76,2002,AFG,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
77,2003,AFG,0.0,0.0,0.0,0.0,0.0,0.0,8.34,0.0,0.0,0.0
78,2004,AFG,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0
79,2005,AFG,0.0,0.0,0.0,0.0,0.0,0.0,9.15,0.0,0.0,0.0
80,2006,AFG,0.0,0.0,0.0,0.0,0.0,0.0,13.69,0.0,0.0,0.0
81,2007,AFG,0.0,0.0,0.0,0.0,0.0,0.0,14.23,0.0,0.0,0.0
82,2008,AFG,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,643174.51,308406.5
83,2009,AFG,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,744281.07,94761.12
84,2010,AFG,0.0,0.0,0.0,0.0,0.0,0.0,27.93,0.0,626710.87,27577849.86
85,2011,AFG,0.0,0.0,0.0,0.0,0.0,0.0,39.62,0.0,433679.25,47084262.04
86,2012,AFG,0.0,0.0,0.0,0.0,0.0,0.0,34.15,0.0,0.0,10738034.5335198
87,2013,AFG,0.0,0.0,0.0,0.0,0.0,0.0,27.81,0.0,0.0,10944020.3116408
88,2014,AFG,0.0,0.0,0.0,0.0,0.0,0.0,34.69,0.0,463662.430553814,107890.10906887
89,2015,AFG,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,12809.26,242475.541833949
90,2016,AFG,0.0,0.0,0.0,0.0,0.0,0.0,81.64,0.0,0.0,36802.95
91,2017,AFG,0.0,0.0,0.0,0.0,0.0,0.0,91.89,0.0,0.0,180660.399927953
92,2018,AFG,0.0,0.0,0.0,0.0,0.0,0.0,111.72,0.0,0.0,2402430.87491251
93,2019,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5555.67146925886,4778790.72133592
94,2020,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.19545813078,6111813.8157338
95,2021,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1990,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1762989.63816211,919342.173835729
97,1991,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308601.1641066,1225449.50513456
98,1992,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14324879.6176816,3766087.24335112
99,1993,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247594.96986943,4803075.61950148
100,1994,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228744.24588109,1723322.2080514
101,1995,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272432.99464197,1787869.35177278
102,1996,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366071.378418687,4450062.87347925
103,1997,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595792.364569889,8642808.0943644
104,1998,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71788.6974658794,7558945.356209
105,1999,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3352321.67087245,11836951.4148914
106,2000,AFW,0.0,0.0,0.0,0.0,0.0,0.0,1786.61694078781,0.0,2479276.25885428,12565896.594549
107,2001,AFW,0.0,0.0,0.0,0.0,0.0,0.0,1869.51795326076,0.0,350001.64605324,8571818.72508941
108,2002,AFW,0.0,0.0,0.0,0.0,0.0,0.0,2121.82,0.0,887876.728217688,7642540.62719766
109,2003,AFW,0.0,0.0,0.0,0.0,0.0,0.0,2306.61,0.0,634631.38107345,56895380.2244889
110,2004,AFW,0.0,0.0,0.0,0.0,0.0,0.0,2565.83,0.0,1439619.4701463,15260467.6896757
111,2005,AFW,0.0,0.0,0.0,0.0,0.0,0.0,2899.84,0.0,801048.950258312,105306761.340253
112,2006,AFW,0.0,0.0,0.0,0.0,0.0,0.0,3465.04,0.0,491936.053197174,115950984.454925
113,2007,AFW,0.0,0.0,0.0,0.0,0.0,0.0,3829.69,0.151855607511174,1021741.58907344,219481160.740204
114,2008,AFW,0.0,0.0,0.0,0.0,0.0,0.0,3993.21,0.0,2570892.27326474,247502232.858802
115,2009,AFW,0.0,0.0,0.0,0.0,0.0,0.0,4727.78,0.0,2707809.79758951,262738120.496683
116,2010,AFW,1.78229129194658,0.0,0.0,0.0,0.0,0.0,5123.54,0.0,3506795.80089912,266899774.002394
117,2011,AFW,2.66348435938351,0.0,0.0,0.0,0.0,0.0,5640.58,0.0,3900282.89996167,251239858.934063
118,2012,AFW,3.03906002428846,0.0,0.0,0.0,0.0,0.0,5471.26,0.0,5551862.70189208,283984358.688477
119,2013,AFW,4.14117909586779,0.0,0.0,0.0,0.0,0.0,5693.76,0.0,6513644.7458588,278039100.438778
120,2014,AFW,4.29944182455288,0.0,0.0,0.0,0.0,0.0,6388.11,0.0,10149433.3045863,289056236.188106
121,2015,AFW,8.58427180338773,0.0,0.0,0.0,0.0,0.0,6603.2,0.0,8572491.63501025,276882578.310601
122,2016,AFW,3.34352189320687,289288813.0,0.0,0.0,0.0,0.0,7257.17,0.0,9185172.84300519,273614797.156657
123,2017,AFW,3.66118229828856,0.0,0.0,0.0,0.0,0.0,7907.5,0.0,6365730.12374978,278307224.628641
124,2018,AFW,4.06340073286331,287038404.0,0.0,0.0,0.0,0.0,9442.47,0.0,112807609.933521,332642747.646662
125,2019,AFW,3.64594748469356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79479363.4504552,468924196.536711
126,2020,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49699148.5070189,429224805.74991
127,2021,AFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36932.2986147345,1357429.11528402
128,1990,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,1991,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,1992,AGO,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
131,1993,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14100000.0,0.0
132,1994,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18300000.0,0.0
133,1995,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7421000.0,0.0
134,1996,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16587000.0,0.0
135,1997,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5960000.0,290000.0
136,1998,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9480000.0,1170000.0
137,1999,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2790000.0,1660000.0
138,2000,AGO,0.0,0.0,0.0,0.0,0.0,0.0,7.17,0.0,15750000.0,5630000.0
139,2001,AGO,0.0,0.0,0.0,0.0,0.0,0.0,10.58,0.0,4420000.0,430000.0
140,2002,AGO,0.0,0.0,0.0,0.0,0.0,0.0,15.13,0.0,0.0,0.0
141,2003,AGO,0.0,0.0,0.0,0.0,0.0,0.0,5.89,0.0,0.0,0.0
142,2004,AGO,0.0,0.0,0.0,0.0,0.0,0.0,9.23,0.0,226800000.0,2495000.0
143,2005,AGO,0.0,0.0,0.0,0.0,0.0,0.0,10.04,0.0,49430571.11,3378446.38
