contry code;pbi_categoria;pat_resd_categoria;tech_categoria;scie_categoria
ABW;0;1;0;0
AFE;1;0;0;0
AFG;0;0;0;0
AFW;0;0;0;0
AGO;0;1;1;1
ALB;1;1;0;0
AND;0;1;0;0
ARB;0;0;0;0
ARE;1;2;1;1
ARG;1;3;1;1
ARM;1;3;0;0
ASM;1;0;0;0
ATG;0;1;0;0
AUS;1;3;0;0
AUT;1;3;1;1
AZE;1;3;0;1
BDI;1;1;1;1
BEL;1;3;0;1
BEN;0;0;0;0
BFA;1;1;0;0
BGD;0;3;0;0
BGR;1;3;0;1
BHR;0;2;0;0
BHS;0;1;0;0
BIH;1;3;1;1
BLR;1;3;0;0
BLZ;0;1;0;0
BMU;1;0;0;0
BOL;1;1;0;0
BRA;1;3;0;0
BRB;0;1;0;0
BRN;1;1;0;0
BTN;0;1;0;0
BWA;1;1;0;0
CAF;0;0;0;0
CAN;1;3;1;1
CEB;1;0;1;1
CHE;1;3;1;1
CHI;0;0;0;0
CHL;1;3;1;1
CHN;1;3;0;1
CIV;0;1;0;0
CMR;0;0;0;0
COD;1;1;1;1
COG;0;0;0;0
COL;1;3;0;1
COM;0;0;0;0
CPV;0;1;0;0
CRI;1;3;0;1
CSS;0;0;0;0
CUB;1;2;0;0
CUW;0;0;0;0
CYM;0;0;0;0
CYP;1;2;1;1
CZE;1;3;1;1
DEU;1;3;1;1
DJI;0;1;0;0
DMA;0;0;0;0
DNK;1;3;0;1
DOM;0;3;0;0
DZA;1;3;1;1
EAP;1;0;0;1
EAR;1;0;1;1
EAS;1;3;0;1
ECA;1;0;1;1
ECS;1;3;1;1
ECU;1;3;0;0
EGY;1;3;1;1
EMU;1;0;1;1
ERI;0;0;0;0
ESP;1;3;1;1
EST;1;3;1;1
ETH;1;2;1;1
EUU;1;0;1;1
FCS;0;0;0;0
FIN;1;3;0;1
FJI;0;0;0;0
FRA;1;3;1;1
FRO;0;0;0;0
FSM;0;0;0;0
GAB;1;0;0;0
GBR;1;3;1;1
GEO;1;3;1;1
GHA;1;1;1;1
GIB;0;0;0;0
GIN;0;0;0;0
GMB;1;0;1;1
GNB;0;0;0;0
GNQ;0;0;0;0
GRC;1;3;0;1
GRD;0;0;0;0
GRL;1;0;0;0
GTM;1;3;1;1
GUM;1;0;0;0
GUY;0;1;0;0
HIC;1;3;0;1
HKG;1;3;1;1
HND;1;2;1;1
HPC;0;0;0;0
HRV;1;3;1;1
HTI;0;1;0;0
HUN;1;3;1;1
IBD;1;0;0;1
IBT;1;0;0;1
IDA;0;0;0;0
IDB;0;0;0;0
IDN;1;3;1;1
IDX;0;0;0;0
IMN;0;0;0;0
IND;1;3;1;1
INX;0;0;0;0
IRL;1;1;1;1
IRN;1;3;1;1
IRQ;1;1;1;1
ISL;1;3;1;1
ISR;1;3;0;0
ITA;1;2;0;1
JAM;1;3;0;0
JOR;1;3;1;1
JPN;1;3;1;1
KAZ;1;3;1;1
KEN;1;3;0;0
KGZ;1;3;0;0
KHM;1;1;1;1
KIR;0;0;0;0
KNA;0;0;0;0
KOR;1;3;1;1
KWT;1;1;1;1
LAC;1;0;0;0
LAO;0;2;0;0
LBN;0;1;0;0
LBR;0;0;0;0
LBY;0;0;0;0
LCA;0;1;0;0
LCN;1;3;0;0
LDC;0;0;0;0
LIC;0;3;0;0
LIE;0;0;0;0
LKA;1;3;1;1
LMC;1;3;0;0
LMY;1;0;0;1
LSO;1;1;1;1
LTE;1;0;0;1
LTU;1;3;0;1
LUX;1;3;1;1
LVA;1;3;0;1
MAC;1;2;1;1
MAF;0;0;0;0
MAR;1;3;1;1
MCO;1;3;0;0
MDA;1;3;1;1
MDG;1;3;1;1
MDV;0;0;0;0
MEA;0;3;0;0
MEX;1;3;1;1
MHL;0;0;0;0
MIC;1;0;0;1
